Station Halberd - Inbound Personnel Manifest - EXERCISE NORTHWIND SHELF (SYNTHETIC)
Prepared by Adjutant's cell 11 AUG 26. All entries fictional.

Last Name,First Name,Pers ID,Billet Code,Report DTG,Losing Element,Gaining Desk,Remarks
Rivera,T.,P-4471,SG-1,14 AUG 26,Bastion Reach,Signals,"relay tech, second tour"
Kowalczyk,B.,P-4478,MV-3,14 AUG 26,Node B,Movement,
Mbeki,S.,P-4483,MD-1,14 AUG 26,Ferry Point,Aid Station,
Lindqvist,A.,P-4490,SP-1,15 AUG 26,Bastion Reach,Supply,
Abara,C.,P-4497,IM-1,15 AUG 26,Node B,Imagery,
Sorensen,K.,P-4503,LN-2,15 AUG 26,Ferry Point,Liaison,Cordell dialects
Dube,N.,P-4510,SG-4,16 AUG 26,Bastion Reach,Signals,
Sowande,B.,P-4519,SG-7,16 AUG 26,Node B,Signals,previously employed on comms tasks at Node B
Ferrante,G.,P-4520,MV-2,16 AUG 26,Station Halberd,Movement,
Haddad,Y.,P-4527,MD-2,17 AUG 26,Node B,Aid Station,
Pyne,R.,P-4534,TR-4,17 AUG 26,Bastion Reach,,
Okafor,I.,P-4541,SP-5,17 AUG 26,Ferry Point,Supply,
Delacroix,H.,P-4655,MV-7,18 AUG 26,Bastion Reach,Movement,posted against the movement desk
