Course Roster - Relay Bridge Restore Refresher (EXERCISE NORTHWIND SHELF - SYNTHETIC)
Station Halberd training cell. Serial 26/114. Instructor P-3145 Larkin, P.

Last Name,First Name,Pers ID,Course Date,Attendance,Result,Instructor
Achebe,N.,P-3101,2026-07-14,present,pass,P-3145
Duarte,R.,P-3202,2026-07-14,present,pass,P-3145
Nakamura,H.,P-3844,2026-07-14,present,pass,P-3145
Brandt,K.,P-3388,2026-07-14,present,pass,P-3145
Iyer,S.,P-3410,2026-07-14,absent,not attempted,P-3145
Tan,W.,P-3601,2026-07-15,present,fail,P-3145
Ferreira,L.,P-3690,2026-07-15,present,pass,P-3145
Osei,K.,P-3722,2026-07-15,present,pass,P-3145
Halloran,M.,P-3512,2026-07-15,present,pass,P-3145
Whitlock,C.,P-3801,2026-07-15,absent,not attempted,P-3145
Marchetti,D.,P-3755,2026-07-16,present,pass,P-3145
Petrosyan,A.,P-3788,2026-07-16,present,pass,P-3145
Villasenor,J.,P-3644,2026-07-16,present,pass,P-3145
Rasmussen,E.,P-3560,2026-07-16,present,pass,P-3145
Quinteros,M.,P-3877,2026-07-16,present,pass,P-3145
Owusu,F.,P-3489,2026-07-16,present,pass,P-3145
Novak,T.,P-3455,2026-07-16,present,pass,P-3145
Beaumont,G.,P-4130,2026-07-16,present,pass,P-3145
