Cordell Basin Relief Consortium - liaison contact list (EXERCISE NORTHWIND SHELF - SYNTHETIC)
Held by the Liaison Desk. Not a personnel record. Do not route from this file.

Name,Organisation,Role,Office,Phone,Email
"Adeyemi, F.",Cordell Basin Relief Consortium,Field coordinator,CBRC North,x2214,f.adeyemi@cbrc.example
"Bergstrom, O.",Cordell Basin Relief Consortium,Logistics lead,CBRC North,x2218,o.bergstrom@cbrc.example
"Castellanos, R.",Cordell Basin Relief Consortium,Medical coordinator,CBRC South,x2231,r.castellanos@cbrc.example
"Dunphy, M.",Selwyn Ferry Services Ltd,Operations manager,Ferry Point,x4402,m.dunphy@sfs.example
"Espinoza, T.",Cordell Basin Relief Consortium,Interpreter cell,CBRC South,x2240,t.espinoza@cbrc.example
"Fitzhugh, A.",Ardwick Structural,Contracts,Bastion Reach,x7710,a.fitzhugh@ardwick.example
"Gowda, S.",Cordell Basin Relief Consortium,Water and sanitation,CBRC South,x2255,s.gowda@cbrc.example
"Haruna, M.",Cordell Basin Relief Consortium,Field coordinator,CBRC North,x2260,m.haruna@cbrc.example
"Ingersoll, P.",Selwyn Ferry Services Ltd,"Master, MV Tolland Carrier",Ferry Point,x4408,p.ingersoll@sfs.example
"Jankowski, D.",Ardwick Structural,Site engineer,Selwyn Bridge,x7724,d.jankowski@ardwick.example
