pers_id,last_name,first_name,billet_code,desk,on_station_since,status,exercise
P-3101,Achebe,N.,SG-1,Signals,2026-05-02,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3145,Larkin,P.,SG-2,Signals,2026-05-02,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3202,Duarte,R.,SG-4,Signals,2026-05-16,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3388,Brandt,K.,SG-9,Signals,2026-05-16,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3410,Iyer,S.,MV-1,Movement,2026-04-18,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3455,Novak,T.,MV-3,Movement,2026-04-18,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3489,Owusu,F.,MV-2,Movement,2026-06-01,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3512,Halloran,M.,MD-1,Aid Station,2026-04-18,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3560,Rasmussen,E.,MD-2,Aid Station,2026-06-01,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3601,Tan,W.,SP-1,Supply,2026-05-02,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3644,Villasenor,J.,SP-5,Supply,2026-05-02,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3690,Ferreira,L.,IM-1,Imagery,2026-04-18,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3722,Osei,K.,IM-3,Imagery,2026-06-01,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3755,Marchetti,D.,LN-1,Liaison,2026-04-18,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3788,Petrosyan,A.,LN-2,Liaison,2026-05-16,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3801,Whitlock,C.,MV-3,Movement,2026-06-14,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3844,Nakamura,H.,SG-1,Signals,2026-06-14,assigned,NORTHWIND SHELF (SYNTHETIC)
P-3877,Quinteros,M.,MD-1,Aid Station,2026-06-14,assigned,NORTHWIND SHELF (SYNTHETIC)
P-4102,Okonkwo,D.,SG-2,Signals,2026-02-09,departed,NORTHWIND SHELF (SYNTHETIC)
P-4118,Sandoval,R.,MV-2,Movement,2026-02-09,departed,NORTHWIND SHELF (SYNTHETIC)
P-4130,Beaumont,G.,SP-1,Supply,2026-03-01,rotating out,NORTHWIND SHELF (SYNTHETIC)
